Date,Country/Region,Confirmed,Recovered,Deaths
2020-01-22,India,0,0.0,0
2020-01-23,India,0,0.0,0
2020-01-24,India,0,0.0,0
2020-01-25,India,0,0.0,0
2020-01-26,India,0,0.0,0
2020-01-27,India,0,0.0,0
2020-01-28,India,0,0.0,0
2020-01-29,India,0,0.0,0
2020-01-30,India,1,0.0,0
2020-01-31,India,1,0.0,0
2020-02-01,India,1,0.0,0
2020-02-02,India,2,0.0,0
2020-02-03,India,3,0.0,0
2020-02-04,India,3,0.0,0
2020-02-05,India,3,0.0,0
2020-02-06,India,3,0.0,0
2020-02-07,India,3,0.0,0
2020-02-08,India,3,0.0,0
2020-02-09,India,3,0.0,0
2020-02-10,India,3,0.0,0
2020-02-11,India,3,0.0,0
2020-02-12,India,3,0.0,0
2020-02-13,India,3,0.0,0
2020-02-14,India,3,0.0,0
2020-02-15,India,3,0.0,0
2020-02-16,India,3,3.0,0
2020-02-17,India,3,3.0,0
2020-02-18,India,3,3.0,0
2020-02-19,India,3,3.0,0
2020-02-20,India,3,3.0,0
2020-02-21,India,3,3.0,0
2020-02-22,India,3,3.0,0
2020-02-23,India,3,3.0,0
2020-02-24,India,3,3.0,0
2020-02-25,India,3,3.0,0
2020-02-26,India,3,3.0,0
2020-02-27,India,3,3.0,0
2020-02-28,India,3,3.0,0
2020-02-29,India,3,3.0,0
2020-03-01,India,3,3.0,0
2020-03-02,India,5,3.0,0
2020-03-03,India,5,3.0,0
2020-03-04,India,28,3.0,0
2020-03-05,India,30,3.0,0
2020-03-06,India,31,3.0,0
2020-03-07,India,34,3.0,0
2020-03-08,India,39,3.0,0
2020-03-09,India,43,3.0,0
2020-03-10,India,56,4.0,0
2020-03-11,India,62,4.0,1
2020-03-12,India,73,4.0,1
2020-03-13,India,82,4.0,2
2020-03-14,India,102,4.0,2
2020-03-15,India,113,13.0,2
2020-03-16,India,119,13.0,2
2020-03-17,India,142,14.0,3
2020-03-18,India,156,14.0,3
2020-03-19,India,194,15.0,4
2020-03-20,India,244,20.0,5
2020-03-21,India,330,23.0,4
2020-03-22,India,396,27.0,7
2020-03-23,India,499,27.0,10
2020-03-24,India,536,40.0,10
2020-03-25,India,657,43.0,12
2020-03-26,India,727,45.0,20
2020-03-27,India,887,73.0,20
2020-03-28,India,987,84.0,24
2020-03-29,India,1024,95.0,27
2020-03-30,India,1251,102.0,32
2020-03-31,India,1397,123.0,35
2020-04-01,India,1998,148.0,58
2020-04-02,India,2543,191.0,72
2020-04-03,India,2567,192.0,72
2020-04-04,India,3082,229.0,86
2020-04-05,India,3588,229.0,99
2020-04-06,India,4778,375.0,136
2020-04-07,India,5311,421.0,150
2020-04-08,India,5916,506.0,178
2020-04-09,India,6725,620.0,226
2020-04-10,India,7598,774.0,246
2020-04-11,India,8446,969.0,288
2020-04-12,India,9205,1080.0,331
2020-04-13,India,10453,1181.0,358
2020-04-14,India,11487,1359.0,393
2020-04-15,India,12322,1432.0,405
2020-04-16,India,13430,1768.0,448
2020-04-17,India,14352,2041.0,486
2020-04-18,India,15722,2463.0,521
2020-04-19,India,17615,2854.0,559
2020-04-20,India,18539,3273.0,592
2020-04-21,India,20080,3975.0,645
2020-04-22,India,21370,4370.0,681
2020-04-23,India,23077,5012.0,721
2020-04-24,India,24530,5498.0,780
2020-04-25,India,26283,5939.0,825
2020-04-26,India,27890,6523.0,881
2020-04-27,India,29451,7137.0,939
2020-04-28,India,31324,7747.0,1008
2020-04-29,India,33062,8437.0,1079
2020-04-30,India,34863,9068.0,1154
2020-05-01,India,37257,10007.0,1223
2020-05-02,India,39699,10819.0,1323
2020-05-03,India,42505,11775.0,1391
2020-05-04,India,46437,12847.0,1566
2020-05-05,India,49400,14142.0,1693
2020-05-06,India,52987,15331.0,1785
2020-05-07,India,56351,16776.0,1889
2020-05-08,India,59695,17887.0,1985
2020-05-09,India,62808,19301.0,2101
2020-05-10,India,67161,20969.0,2212
2020-05-11,India,70768,22549.0,2294
2020-05-12,India,74292,24420.0,2415
2020-05-13,India,78055,26400.0,2551
2020-05-14,India,81997,27969.0,2649
2020-05-15,India,85784,30258.0,2753
2020-05-16,India,90648,34224.0,2871
2020-05-17,India,95698,36795.0,3025
2020-05-18,India,100328,39233.0,3156
